School Name,URL,City,State
University of Alaska,admissions@alaska.edu,Anchorage,AK
Alaska Christian College,admissions@alaskacc.edu,Soldotna,AK
National Park Community College,admissions@npcc.edu,Hot Springs National Park,AK
University of Alaska Fairbanks,admissions@uaf.edu,Fairbanks,AK
University of Arkansas - Fort Smith,admissions@uafs.edu,Fort Smith,AK
Alabama A&M University,admissions@aamu.edu,Huntville,AL
Athens State University,admissions@athens.edu,Athens,AL
Auburn University,admissions@auburn.edu,Auburn,AL
Auburn University at Montgomery,admissions@aum.edu,Montgomery,AL
Birmingham-Southern College,admissions@bsc.edu,Birmingham,AL
Calhoun Community College,admissions@calhoun.edu,Decatur,AL
Enterprise State Community College,admissions@escc.edu,Enterprise,AL
Faulkner State Community College,admissions@faulknerstate.edu,Bay Minette,AL
Gadsden State Community College,admissions@gadsdenstate.edu,Gadsden,AL
Huntingdon College,admissions@huntingdon.edu,Montgomery,AL
Jacksonville State University,admissions@jsu.edu,Jacksonville,AL
Lurleen B. Wallace Community College,admissions@lbwcc.edu,Andalusia,AL
University of Montevallo,admissions@montevallo.edu,Montevallo,AL
Northeast Alabama Community College,admissions@nacc.edu,Rainsville,AL
Northwest-Shoals Community College,admissions@nwscc.edu,Muscle Shoals,AL
Oakwood University,admissions@oakwood.edu,Huntsville,AL
Samford University,admissions@samford.edu,Birmingham,AL
Southeastern Bible College,admissions@sebc.edu,Birmingham,AL
University of South Alabama,admissions@southalabama.edu,Mobile,AL
Trenholm State Technical College,admissions@trenholmstate.edu,Montgomery,AL
Troy University,admissions@troy.edu,Troy,AL
Tuskegee University,admissions@tuskegee.edu,Tuskegee,AL
University of Alabama,admissions@ua.edu,Tuscaloosa,AL
University of Alabama at Birmingham,admissions@uab.edu,Birmingham,AL
University of Alabama in Huntsville,admissions@uah.edu,Huntsville,AL
University of North Alabama,admissions@una.edu,Florence,AL
Snead State Community College,admissions@snead.edu,Boaz,AL
Arkansas Northeastern College,admissions@anc.edu,Blytheville,AR
Arkansas State University,admissions@astate.edu,Jonesboro,AR
Arkansas Tech University,admissions@atu.edu,Russellville,AR
Central Baptist College,admissions@cbc.edu,Conway,AR
Harding University,admissions@harding.edu,Searcy,AR
Hendrix College,admissions@hendrix.edu,Conway,AR
Henderson State University,admissions@hsu.edu,Arkadelphia,AR
John Brown University,admissions@jbu.edu,Siloam Springs,AR
Lyon College,admissions@lyon.edu,Batesville,AR
Mid-South Community College,admissions@midsouthcc.edu,West Memphis,AR
North Arkansas College,admissions@northark.edu,Harrison,AR
Northwest Arkansas Community College,admissions@nwacc.edu,Bentonville,AR
Northwest Technical Institute,admissions@nwti.edu,Springdale,AR
Ouachita Baptist University,admissions@obu.edu,Arkadelphia,AR
University of the Ozarks,admissions@ozarks.edu,Clarksville,AR
Phillips Community College U of A,admissions@pccua.edu,Helena-West Helena,AR
